,Total_Return_%,Avg_Daily_Return_%,Volatility_%,Max_Daily_Gain_%,Max_Daily_Loss_%
와이엠텍,-16.42651296829971,-0.03450931905275142,1.7133405365542973,9.29678188319427,-9.335727109515258
우리기술투자,-16.45445641527914,0.0011521376425222942,3.2192043007990163,20.396039603960393,-10.643564356435641
티비씨,-16.492146596858635,-0.03841893710683724,1.4932349214153546,10.513141426783479,-5.575326215895615
인스피언,-16.497829232995652,0.037558426678227626,4.276591897431351,29.963008631319354,-15.20302171860245
웨이버스,-16.507936507936506,-0.03254143150064605,1.8390162451688399,12.522522522522529,-10.045662100456621
HC보광산업,-16.594516594516595,-0.01868101531416107,2.5553481381333745,19.575113808801213,-7.988721804511279
큐라클,-16.666666666666664,0.027420958542871268,3.9637474670160344,29.964539007092196,-17.429577464788736
세아제강지주,-16.685979142526076,-0.023151812234998244,2.333028816566728,12.13801601971658,-8.203991130820398
하이드로리튬,-16.699801192842944,0.06486444087342233,4.90623741780832,30.000000000000004,-27.095516569200782
오리콤,-16.76470588235294,-0.028274779764022158,2.116043977384434,19.135802469135797,-11.711711711711715
제룡전기,-16.819221967963383,-0.016727179237701107,2.603725841776855,12.747875354107641,-12.072072072072071
AK홀딩스,-16.84210526315789,-0.03895670990646459,1.5146579803859705,7.420814479638005,-12.123974475843212
인탑스,-16.872890888638924,-0.02905158823621225,2.0986886028142897,15.865384615384626,-8.10157194679565
엔시스,-16.932515337423315,-0.03297552384374209,1.8928838054403196,9.763779527559047,-8.847184986595169
동인기연,-17.08821714990747,-0.037191559900814464,1.692347009656051,11.265646731571621,-7.050592034445636
휴마시스,-17.10952689565781,-0.012298511528034751,2.902519202145962,26.6,-9.162717219589256
하이텍팜,-17.125984251968507,-0.03278954952793428,1.936654606813345,10.041841004184104,-8.935128518971847
밸로프,-17.147192716236724,0.02109844722077261,3.9159543364518434,29.95319812792512,-17.746759720837492
디앤씨미디어,-17.191142191142195,-0.024630872899429307,2.3452686259405056,13.920099875156055,-9.03743315508021
CSA 코스믹,-17.21212121212121,0.09657581828975559,5.3909633946883835,29.95226730310263,-29.972375690607734
흥구석유,-17.25067385444744,0.009826901470518795,3.5452988633482696,29.967426710097712,-28.297755883962783
엔바이오니아,-17.268548916611948,-0.020334762581988915,2.6107646433169016,29.984894259818738,-7.960488088320739
알멕,-17.27642276422764,-0.007665309806009201,3.076542039186617,29.894736842105264,-9.110169491525422
앱코,-17.278797996661098,-0.030774028526323268,2.159114200466168,29.98872604284104,-8.933217692974848
특수건설,-17.298937784522007,-0.03653948878477399,1.7687713776889014,9.433962264150942,-6.690140845070425
디케이앤디,-17.37967914438503,-0.04444983237756563,1.254300571889526,7.168458781362008,-6.8331143232588705
다스코,-17.404129793510325,-0.03892399150748312,1.6481319648130373,10.576923076923084,-6.474820143884896
대성파인텍,-17.426900584795323,-0.014968489267099134,2.826421923332734,29.967069154774983,-13.424437299035375
서울반도체,-17.443408788282287,-0.0434705343542318,1.3505144586909252,7.7037037037037015,-4.731861198738175
경보제약,-17.47311827956989,-0.03175600074339899,2.0323280279940943,9.967845659163977,-16.39784946236559
티케이지애강,-17.516629711751662,-0.04377801494706787,1.3439880979917247,10.817307692307686,-8.269018743109147
우양에이치씨,-17.553191489361698,0.16290707639094326,6.583840654835628,29.454787234042556,-29.481481481481488
인베니아,-17.560975609756103,0.010376930696124873,3.6316157667327342,29.984051036682622,-22.78860569715142
남선알미늄,-17.573872472783826,-0.03418502580632561,1.9836017986933037,19.718309859154925,-6.093749999999998
LG생활건강,-17.647058823529417,-0.043577449398171465,1.3885403838392723,6.896551724137923,-7.278481012658233
지투파워,-17.849898580121703,-0.012058784258601343,2.9205298107982776,19.119496855345908,-10.339506172839508
바이오톡스텍,-17.878787878787882,-0.040747650671714014,1.6289352760712006,7.580645161290334,-7.155025553662686
덕성,-17.89915966386555,-0.022045499295143912,2.5495624911037416,20.80645161290322,-14.819759679572764
덕신이피씨,-17.980456026058633,-0.03073260846502784,2.2347926207080935,20.953575909661225,-5.99636583888552
라이온켐텍,-18.042226487523994,-0.039827009812976016,1.694462210549061,8.048289738430592,-16.171617161716167
랩지노믹스,-18.098720292504566,-0.010233750670400131,3.089458722912908,29.944547134935306,-8.012820512820518
한켐,-18.154761904761905,-0.0235723325542415,2.4895730551521855,11.69102296450939,-17.268292682926834
오파스넷,-18.216560509554135,0.004590567540732181,3.4960547020337183,29.87987987987988,-21.20535714285714
남화산업,-18.232044198895025,-0.047431542813460306,1.2400863654881717,4.545454545454541,-4.761904761904767
팅크웨어,-18.453608247422682,-0.043336051903293,1.5878591142922605,7.424071991001124,-7.377049180327866
진흥기업,-18.46733668341709,-0.04436708328852081,1.5368425566755246,11.37309292649098,-6.544502617801051
케이엔에스,-18.481595092024538,-0.02046871315291044,2.730814755884753,27.320034692107555,-9.190172884440395
강동씨앤엘,-18.490566037735846,-0.03707599662451662,1.9782047481197096,17.607413647851722,-10.212765957446813
엔투텍,-18.58974358974359,-0.014922447815988884,2.9828352635620377,29.834254143646397,-9.895833333333337
HLB,-18.616144975288307,-8.303395194219092e-05,3.3200092969659436,25.361155698234338,-29.969879518072283
효성티앤씨,-18.681318681318682,-0.02667985585283162,2.4214038590000504,10.144927536231885,-20.631970260223053
남광토건,-18.777777777777782,-0.022619947974346282,2.690241150399046,25.49537648612945,-11.157894736842099
신스틸,-18.85964912280702,-0.044139994267133185,1.6212120954818423,7.933194154488521,-9.251101321585908
서진시스템,-18.923611111111114,-0.026761026458379727,2.478614738316183,9.395973154362425,-8.944543828264761
국제약품,-19.021739130434778,-0.04660857176290329,1.4982568741030888,8.161044613710544,-8.099999999999996
인텔리안테크,-19.099999999999994,-0.023299709545911904,2.6549696868259627,11.285714285714278,-10.799999999999999
체시스,-19.17381137957911,-0.007527141302787932,3.1900632327335456,26.356589147286826,-21.58145065398336
윤성에프앤씨,-19.18735891647856,-0.02349523311366571,2.6516537006967233,11.602209944751385,-8.437067773167362
GS글로벌,-19.198664440734557,-0.0418850761961865,1.8176077745920394,13.539651837524168,-12.372881355932208
아이즈비전,-19.201850780798146,-0.0348732608046237,2.2225576421768327,23.483009708737868,-11.498771498771498
이스타코,-19.20821114369502,0.1100174452147202,6.030973018818587,29.986789960369876,-23.54260089686099
한일화학,-19.20849420849421,-0.04951406739103728,1.3485820029135605,10.561370123691717,-6.3752276867031
현대이지웰,-19.329073482428115,-0.04809616857892302,1.4672966468632118,7.899461400359065,-8.566721581548597
한창제지,-19.416058394160586,-0.04763819370073208,1.5238497994097,7.297297297297289,-6.022584692597244
유아이디,-19.45080091533181,-0.04340658558621255,1.7988917571235228,16.92307692307693,-10.755148741418763
보령,-19.503219871205147,-0.05072932976792207,1.320875101235274,6.5359477124183,-5.6526207605344325
디에이치엑스컴퍼니,-19.66292134831461,0.051580433319483907,4.8884572493478435,29.95348837209302,-19.999999999999996
현대퓨처넷,-19.727047146401986,-0.04865778693034698,1.5163368488453668,9.122203098106718,-10.319410319410316
THE CUBE&,-19.813278008298752,-0.0015439737444051993,3.522604144953113,25.257731958762886,-10.940272028385568
서울바이오시스,-19.869706840390876,-0.035564795048970525,2.322285407755724,29.977116704805496,-13.204225352112676
디알텍,-19.886363636363637,-0.029131503040514515,2.5495160843672817,20.123203285420942,-9.020501138952163
윈스테크넷,-19.89211058664868,-0.0539435437658856,1.1613256685540254,3.171953255425719,-6.775510204081636
KH 필룩스,-19.909502262443436,0.6039794210624186,16.285447322196777,300.4524886877828,-80.0
아나패스,-19.999999999999996,-0.047909488610371934,1.6445458849722558,13.073005093378608,-4.972067039106143
TS트릴리온,-20.07168458781362,-0.01445593413608596,3.1640194706159983,29.629629629629626,-13.609467455621305
에이프로젠바이오로직스,-20.133333333333336,-0.03475934321932606,2.3427450871247535,15.987460815047028,-7.928388746803073
아이빔테크놀로지,-20.2247191011236,-0.0026498116309125555,3.50029080809658,29.963008631319354,-15.873015873015872
지에스이,-20.243531202435317,-0.040646421858078735,2.0864833045336364,20.659722222222232,-14.264705882352946
컴투스,-20.268620268620264,-0.04465214579739161,1.8666028156872914,7.56646216768917,-8.922742110990212
아미코젠,-20.34120734908137,-0.010057037460192639,3.2810388457522746,22.45430809399478,-17.301414581066375
피엔에이치테크,-20.40322580645161,-0.02733948882201279,2.6666419710322713,17.272727272727263,-13.012729844413018
차백신연구소,-20.405405405405407,-0.03868710832415593,2.203198781317374,14.482758620689662,-8.306709265175716
산돌,-20.411663807890225,0.04804724064314995,4.223261427428383,19.70198675496688,-52.87206266318538
미래생명자원,-20.434227330779052,-0.049576853882195605,1.6187089968634882,8.563899868247704,-9.030544488711822
우리바이오,-20.56603773584905,-0.042089481399379035,2.0715436244794505,16.967509025270754,-8.823529411764708
AP위성,-20.65789473684211,-0.04318269587606865,2.013825855513944,10.57529610829102,-9.837133550488597
소노스퀘어,-20.665901262916186,-0.025139374306176982,2.777822191904905,17.205692108667535,-14.129586260733806
씨아이에스,-20.666666666666668,-0.03983188132983353,2.174805091958522,11.16207951070336,-10.191082802547768
대성미생물,-20.70098576122672,-0.055860292589133276,1.2439150170546376,6.481481481481488,-6.290672451193058
시프트업,-20.760534429599176,-0.03319475645693961,2.472247300866136,12.078152753108352,-14.017094017094012
상보,-20.763956904995105,-0.035917921015047094,2.4053058483862677,19.611158072696533,-12.276612276612276
아이티엠반도체,-20.789473684210524,-0.03957167487475193,2.2198994840114747,17.677286742034948,-8.733624454148469
SM C&C,-20.807061790668346,-0.04460016734777732,1.997070307149031,14.330218068535828,-9.581646423751689
아이스크림에듀,-20.869565217391305,0.034141602539080794,4.481790055307654,29.978118161925593,-30.000000000000004
라메디텍,-21.0161662817552,-0.018566752871219134,3.099756225659565,21.968616262482165,-11.483253588516751
엔비티,-21.286370597243486,-0.01820673537150843,3.220860937207777,30.000000000000004,-11.504424778761058
오스템,-21.406250000000004,-0.05740018896243524,1.3107994984253897,5.687203791469186,-6.31741140215717
